OP Type,category,total_duration_us,pct_of_total,pct_of_compute,cumul_pct_compute,n_invocations,mean_duration_us,std_duration_us,n_shape_groups,n_groups_with_cv,cv_min,cv_median,cv_max
QuantBatchMatmulV3,compute,407639.18200000003,0.7705623581915211,39.42898928372977,39.42898928372976,15616,26.103943519467215,11.74162096945484,50,50,0.004850159440036145,0.027092816015549505,0.0691361924143565
Neg,compute,91750.04199999997,0.17343555734956578,8.874542935374047,48.303532219103815,38,2414.4747894736834,3291.0663012127006,10,5,0.7911551916890452,1.410490646114173,1.7273501236118856
AscendQuantV2,compute,69947.95199999999,0.1322229589887346,6.765730998417233,55.06926321752105,6954,10.058664365832612,2.8309110158613744,26,26,0.007166113908835867,0.06719594995781869,0.12556815502167537
MatMulV2,compute,69075.226,0.13057324072240992,6.681316384658066,61.750579602179116,4583,15.072054549421775,20.72370465848785,21,16,0.0016580685435955516,0.03161211800366722,0.16853957883352036
AddRmsNormBias,compute,40627.836,0.07679899896467356,3.9297363477319767,65.68031594991109,8662,4.6903528053567305,3.7079246653411944,6,6,0.029829854884860584,0.061180574796265874,0.09357448807871874
DynamicQuant,compute,37608.238,0.07109103795794579,3.6376650689137104,69.31798101882481,8662,4.341749942276611,3.5382779534901716,23,23,0.001791149459672953,0.052646420877224945,0.15248511606542411
TransData,compute,35129.786,0.0664060079065792,3.3979362556313832,72.71591727445619,2074,16.938180327868853,0.1519268119134499,1,1,0.008969488396783716,0.008969488396783716,0.008969488396783716
FusedInferAttentionScore,compute,32162.636,0.0607971896131798,3.110938021116187,75.82685529557239,2074,15.507539054966248,6.3692016464232815,10,10,0.029823153994505774,0.034839547172995915,0.5027038008454484
MoeGatingTopK,compute,27144.938,0.05131221031211526,2.6256000815679905,78.45245537714037,4118,6.591777076250606,6.144488929270886,6,6,0.09026942814542588,0.11299388224819601,0.12628060802879792
TransposeBatchMatMul,compute,25890.134,0.048940248116125594,2.504228889460208,80.95668426660058,2074,12.48318900675024,0.9496477829587214,10,10,0.06485969971454297,0.0716560838631867,0.07747504212855522
Slice,compute,23443.006,0.04431442997660117,2.267529896947965,83.22421416354854,5551,4.223204107368042,3.096398302932739,24,24,0.046922041288147615,0.08666217024429694,0.24085920976740632
InterleaveRope,compute,22891.345999999998,0.043271624355133854,2.2141704624560608,85.4383846260046,2318,9.875472821397755,7.053890768047018,14,14,0.019071859454108626,0.03608186190729059,0.04496400531552145
Add,compute,21741.737999999998,0.041098514677281935,2.1029743765202147,87.54135900252481,6545,3.3218851031321615,39.906389179230494,28,19,0.004848732213850508,0.05618299990182133,0.20542857847004184
BatchMatMulV2,compute,17504.064,0.03308801859428544,1.6930844294494731,89.2344434319743,2074,8.439760848601734,0.2704150152152916,10,10,0.02544790927086214,0.031185354088616377,0.03314225046920476
SwiGlu,compute,17216.233999999997,0.032543932124309484,1.6652440095716412,90.89968744154594,4331,3.975117524821057,2.872146917989623,12,12,0.0017139238218549084,0.05359560800007157,0.12747572047601172
Transpose,compute,14610.496000000001,0.02761829271874995,1.4132034300225258,92.31289087156847,868,16.832368663594472,2.4334918352323722,18,13,0.0131988125459793,0.12073863928914307,0.2513561107064135
KvRmsNormRopeCache,compute,13574.49,0.02565992546233502,1.3129955224522478,93.62588639402072,2318,5.856121656600518,5.286254030204855,14,14,0.03791290602749856,0.04932921342690415,0.09875079187810794
RmsNorm,compute,13438.782,0.025403395959963843,1.2998691363883181,94.92575553040903,2389,5.625275010464629,4.702394259914581,12,8,0.02613536357568344,0.06066438014638473,0.06633492408487757
Muls,compute,10020.806,0.018942379053100308,0.9692646581464659,95.8950201885555,4118,2.433415735794075,1.7698173965865007,6,6,0.014542572574968753,0.0228133924317558,0.04484742641435872
Cast,compute,9500.014,0.017957923364423943,0.918890937724634,96.81391112628013,7070,1.3437077793493635,0.5479020825605115,50,39,0.0015489743289958276,0.09629149903030532,0.2719313600946457
BroadcastTo,compute,4677.324,0.008841568648486292,0.4524151897462399,97.26632631602638,509,9.189241650294695,3.6656821343902455,6,6,0.054878485266820404,0.09089863604719156,0.133100974503923
TensorMove,compute,4343.034,0.008209658611143898,0.4200809161786465,97.68640723220501,492,8.82730487804878,2.1575975920411707,8,8,0.07973406632949494,0.0981364635153557,0.23063474655233474
GreaterEqual,compute,4007.612,0.007575608748612979,0.38763714966277907,98.0740443818678,109,36.76708256880734,324.5595301441212,16,7,0.005347662147165316,0.07022708978021913,4.573178077171458
Fill,compute,3786.532,0.007157700133172323,0.36625313817477895,98.44029752004258,2227,1.7002837898518186,0.13616779961414574,4,4,0.04351426345763373,0.08380424067374845,0.18462864460595438
AsStrided,compute,3401.752,0.006430348599567946,0.3290352082835509,98.76933272832612,854,3.9833161592505855,0.35990363539782444,9,9,0.07530761178473204,0.08901710013666495,0.0961220472352974
PagedCacheLoadNdKernel,compute,2144.974,0.004054654941632916,0.20747308059282432,98.97680580891895,183,11.721169398907104,1.2953882733908963,3,3,0.06130502801199715,0.06328637156128342,0.11670382541728877
MaskedFill,compute,1840.5060000000003,0.0034791175781175125,0.178023346515891,99.15482915543484,109,16.885376146788992,7.902803368975151,16,7,0.005708201318370156,0.02413901901637427,0.15575912503148887
