OP Type,category,total_duration_us,pct_of_total,pct_of_compute,cumul_pct_compute,n_invocations,mean_duration_us,std_duration_us,n_shape_groups,n_groups_with_cv,cv_min,cv_median,cv_max
MatMulV2,compute,294198.584,0.6677841163513609,42.015666006352006,42.015666006352006,15549,18.920739854653032,13.843576890986483,27,24,0.0024426237239453382,0.026497248868787432,0.1252022790286852
FusedInferAttentionScore,compute,98439.99799999999,0.223443179719926,14.058606337935196,56.07427234428721,3904,25.215163422131145,15.920172583030178,17,17,0.01926165443964162,0.07504323505921064,0.3424843352894553
RmsNorm,compute,93367.394,0.21192917331756897,13.334167652511459,69.40843999679868,7869,11.865217181344516,6.48258036026786,12,9,0.032434797741457334,0.06135556739903871,0.08401185434407928
AddRmsNormBias,compute,47939.831999999995,0.10881581384549661,6.846477445019334,76.25491744181801,7808,6.1398350409836056,4.207435775412188,4,4,0.06467842620059867,0.07738569834618853,0.09370617380020199
MatMulV3,compute,35540.412000000004,0.08067109739108502,5.0756671225859655,81.33058456440398,128,277.65946875000003,74.08076011433148,2,2,0.007693074302002694,0.014673387659532732,0.02165370101706277
Slice,compute,28647.91,0.06502621122290418,4.09132158956969,85.42190615397368,11066,2.588822519428881,0.6188072574066044,12,12,0.00651711319065943,0.09034745307116299,0.15008857874020046
SwiGlu,compute,21811.507999999998,0.049508663155464545,3.1149879199380335,88.53689407391172,3904,5.5869641393442615,3.68221757543763,4,4,0.038149989494175765,0.06221783770670809,0.11977128015744282
_triton_rope,compute,21493.968,0.04878789772749019,3.0696387737855937,91.60653284769731,3904,5.505627049180328,6.725770286095339,8,8,0.014156291915646546,0.04924794906552597,0.0792608629172792
ReshapeAndCacheNdKernel,compute,15041.866000000002,0.034142649697748315,2.1481885105480396,93.75472135824535,3904,3.8529369877049184,3.434699683313324,16,16,0.013858871104020542,0.07100556004016496,0.13788627924080776
Sort,compute,13648.127999999997,0.03097908552928408,1.9491432618857911,95.70386462013116,61,223.73980327868847,13.552474296624057,13,10,0.002976143642046836,0.0077567579641954374,0.013400558299276322
ArgMaxV2,compute,5380.38,0.012212609099214889,0.7683933960309485,96.47225801616209,61,88.20295081967214,54.0547674229345,13,10,2.6683778229302884e-05,0.0035441038174826613,0.008500730246841256
DSARandomUniform,compute,5380.227999999999,0.01221226408332696,0.7683716883084089,97.2406297044705,61,88.20045901639342,63.64664056218882,0,0,,,
SoftmaxV2,compute,3192.376,0.0072461871068056965,0.4559158713785449,97.69654557584906,61,52.33403278688525,1.550532574818656,13,10,0.005864631886025453,0.013086691085736842,0.034360540488836126
MaskedFill,compute,2168.8260000000005,0.004922890974654919,0.3097386384493694,98.00628421429842,122,17.77726229508197,12.638305682553892,17,11,0.013288822287318532,0.03613711010377625,0.12918800485904422
ApplyTopKTopPCustom,compute,1829.8780000000002,0.004153532782675786,0.261332130954007,98.26761634525243,61,29.998,2.133801302839606,13,10,0.012968268754251203,0.02388145581854968,0.030108491622219843
RealDiv,compute,1518.396,0.0034465180537083793,0.2168481517959341,98.48446449704836,122,12.445868852459016,3.8731600333339187,26,20,0.0,0.019721077352782466,0.14043028856700074
TensorMove,compute,1285.462,0.0029177948245096017,0.18358192388804045,98.66804642093642,128,10.042671875,1.1751095851687672,2,2,0.11434939177507314,0.11583948177806104,0.11732957178104894
Cast,compute,1158.67,0.0026299970977862745,0.16547425575501712,98.83352067669144,488,2.374323770491803,2.802204184067951,46,38,0.0014902145019737249,0.03145431082383099,0.12992000139986526
Index,compute,942.9620000000001,0.0021403741559915604,0.13466814119228293,98.96818881788373,93,10.139376344086022,1.0691939254896095,41,16,0.004468653869026326,0.01959450701945952,0.2643072417993661
Mul,compute,863.104,0.001959109164030936,0.12326330364916525,99.0914521215329,183,4.716415300546449,3.9251253220261337,21,12,0.0012036489281228911,0.05626803908847881,0.08875979735383424
